0,TAMIL_SECTION,TAMIL_SUBDIVISION,TAMIL_CHAPTERS,TAMIL_VERSE,TAMIL_VERSE_SEGMENT_001,TAMIL_VERSE_SEGMENT_002,TAMIL_EXPLANATION,ENGLISH_SECTION,ENGLISH_SUBDIVISION,ENGLISH_CHAPTERS,ENGLISH_VERSE,ENGLISH_VERSE_SEGMENT_001,ENGLISH_VERSE_SEGMENT_002,ENGLISH_EXPLANATION
773,பொருட்பால்,அமைச்சு இயல்,படைச்செருக்கு,பேராண்மை என்ப தறுகனொன் றுற்றக்கால் ஊராண்மை மற்றதன் எஃகு,,,"கையில் ஏந்திய வேலை ஒரு யானையின் மேல் எறிந்து துரத்திவிட்டு, வேறு வேல் தேடி வருகின்றவன் தன் மார்பில் பட்டிருந்த வேலைக் கண்டு பறித்து மகிழ்கின்றான்.",WEALTH,The Essentials of a State,Military Spirit,"Great manliness lies in bellicose valor; grace towards
 ailing foes, adds steel to it.",,,"Fierceness in hour of strife heroic greatness shows;
 Its edge is kindness to our suffering foes.
 The learned say that fierceness (incontest with a foe) is indeed great valour; but to become a benefactor in case of accident (to a foe) is the extreme (limit) of that valour."
774,பொருட்பால்,அமைச்சு இயல்,படைச்செருக்கு,கைவேல் களிற்றொடு போக்கி வருபவன் மெய்வேல் பறியா நகும்,,,"பகைவரை சினந்து நோக்கியக் கண், அவர் வேலைக் கொண்டு எறிந்த போது மூடி இமைக்குமானால், அது வீரமுடையவர்க்குத் தோல்வி அன்றோ.",WEALTH,The Essentials of a State,Military Spirit,"He spent his spear slaying an elephant,
 but breaks into a smile, plucking out the spear that pierces him.",,,"At elephant he hurls the dart in hand; for weapon pressed,
 He laughs and plucks the javelin from his wounded breast.
 The hero who after casting the lance in his hand on an elephant, comes (in search of another) will pluck the one (that sticks) in his body and laugh (exultingly)."
775,பொருட்பால்,அமைச்சு இயல்,படைச்செருக்கு,விழித்தகண் வேல்கொண் டெறிய அழித்திமைப்பின் ஓட்டன்றோ வன்க ணவர்க்கு,,,"வீரன் தன் கழிந்த நாட்களைக் கணக்கிட்டு, விழுப்புண் படாத நாட்களை எல்லாம் பயன் படாமல் தவறிய நாட்களுள் சேர்ப்பான்.",WEALTH,The Essentials of a State,Military Spirit,"Doesn’t it equal defeat, blinking the eyes when a spear is thrown at him,
 the eyes that are staring the foe down.",,,"To hero fearless must it not defeat appear,
 If he but wink his eye when foemen hurls his spear.
 Is it not a defeat to the valiant to wink and destroy their ferocious look when a lance in cast at them (by their foe) ?"
776,பொருட்பால்,அமைச்சு இயல்,படைச்செருக்கு,விழுப்புண் படாதநாள் எல்லாம் வழுக்கினுள் வைக்குந்தன் நாளை எடுத்து,,,"பரந்து நிற்க்கும் புகழை விரும்பி, உயிர்வாழ்வையும் விரும்பாத வீரர், வீரக் கழலை காலில் கட்டிக்கொள்ளுதல் அழகு செய்யும் தன்மையுடையதாகும்.",WEALTH,The Essentials of a State,Military Spirit,"Count those as wasted days,
 the days when you didn’t earn a wound in a battle.",,,"The heroes, counting up their days, set down as vain
 Each day when they no glorious wound sustain.
 The hero will reckon among wasted days all those on which he had not received severe wounds."
777,பொருட்பால்,அமைச்சு இயல்,படைச்செருக்கு,சுழலும் இசைவேண்டி வேண்டா உயிரார் கழல்யாப்புக் காரிகை நீர்த்து,,,"போர்வந்தால் உயிரின் பொருட்டு அஞ்சாமல் போர் செய்யத் துணியும் வீரர், அரசன் சினந்தாலும் தம்முடைய சிறப்புக் குன்றாதவர் ஆவர்.",WEALTH,The Essentials of a State,Military Spirit,"The anklets of courage become ornate when they adorn
 those who spurn their lives seeking lasting fame.",,,"Who seek for world-wide fame, regardless of their life,
 The glorious clasp adorns, sign of heroic strife.
 The fastening of ankle-ring by those who disire a world-wide renown and not (the safety of) their lives is like adorning (themselves)."
778,பொருட்பால்,அமைச்சு இயல்,படைச்செருக்கு,உறினுயிர் அஞ்சா மறவர் இறைவன் செறினுஞ்சீர் குன்றல் இலர்,,,"தாம் உரைத்த சூள் தவராத படி போர் செய்து சாக வல்லவரை, அவர் செய்தப் பிழைக்காக தண்டிக்க வல்லவர் யார்.",WEALTH,The Essentials of a State,Military Spirit,"When a battle begins, the warriors who war without fear for life,
 do not let their vigour reduce even when the king restrains them.",,,"Fearless they rush where'er 'the tide of battle rolls';
 The king's reproof damps not the ardour of their eager souls.
 The heroes who are not afraid of losing their life in a contest will not cool their ardour, even if the king prohibits (their fighting)."
779,பொருட்பால்,அமைச்சு இயல்,படைச்செருக்கு,இழைத்த திகவாமைச் சாவாரை யாரே பிழைத்த தொறுக்கிற் பவர்,,,"தம்மைக் காத்த தலைவருடைய கண்கள் நீர் பெருக்குமாறு சாகப் பெற்றால், சாவு இரந்தாவது பெற்றுக் கொள்ளத் தக்க பெருமை உடையதாகும்.",WEALTH,The Essentials of a State,Military Spirit,"When he is ready to embrace death to fulfill his vow,
 who can taunt him for failure.",,,"Who says they err, and visits them scorn,
 Who die and faithful guard the vow they've sworn?
 Who would reproach with failure those who seal their oath with their death ?"
780,பொருட்பால்,அமைச்சு இயல்,படைச்செருக்கு,புரந்தார்கண் நீர்மல்கச் சாகிற்பின் சாக்கா டிரந்துகோட் டக்க துடைத்து,,,"நட்பைப்போல் செய்து கொள்வதற்கு அருமையானவை எவை உள்ளன, அதுபோல் தொழிலுக்கு அரிய காவலாக இருப்பவை எவை உள்ளன.",WEALTH,The Essentials of a State,Military Spirit,"If one overwhelms his patron with tears while dying for him,
 death deserves to be beseeched.",,,"If monarch's eyes o'erflow with tears for hero slain,
 Who wou ld not beg such boon of glorious death to gain?
 If (heroes) can so die as to fill with tears the eyes of their rulers, such a death deserves to be obtained even by begging."
781,பொருட்பால்,அமைச்சு இயல்,நட்பு,செயற்கரிய யாவுள நட்பின் அதுபோல் வினைக்கரிய யாவுள காப்பு,,,"அறிவுடையவரின் நட்பு பிறை நிறைந்து வருதல் போன்ற தன்மையுடையது, அறிவில்லாதவரின் நட்பு முழுமதி தேய்ந்து பின் செல்லுதல் போன்ற தன்மையுடையன.",WEALTH,The Essentials of a State,Friendship,"What is better than making friends?
 What better protection can there be for accomplishing a task?",,,"What so hard for men to gain as friendship true?
 What so sure defence 'gainst all that foe can do?
 What things are there so difficult to acquire as friendship ? What guards are there so difficult to break through by the efforts (of one's foes) ?"
782,பொருட்பால்,அமைச்சு இயல்,நட்பு,நிறைநீர நீரவர் கேண்மை பிறைமதிப் பின்னீர பேதையார் நட்பு,,,"பழகப் பழக நற்பண்பு உடையவரின் நட்பு இன்பம் தருதல், நூலின் நற்பொருள் கற்கக் கற்க மேன்மேலும் இன்பம் தருதலைப் போன்றதாகும்.",WEALTH,The Essentials of a State,Friendship,"Amongst the wise, camaraderie waxes like the crescent,
 and amongst fools, wanes like the full moon.",,,"Friendship with men fulfilled of good Waxes like the crescent moon;
 Friendship with men of foolish mood, Like the full orb, waneth soon.
 The friendship of the wise waxes like the new moon; (but) that of fools wanes like the full moon."
783,பொருட்பால்,அமைச்சு இயல்,நட்பு,நவில்தொறும் நூனயம் போலும் பயில்தொறும் பண்புடை யாளர் தொடர்பு,,,"நட்புச் செய்தல் ஒருவரோடு ஒருவர் சிரித்து மகிழும் பொருட்டு அன்று, நண்பர் நெறிக்கடந்து செல்லும் போது முற்ப்பட்டுச் சென்று இடித்துரைப்பதற்காகும்.",WEALTH,The Essentials of a State,Friendship,"The nuances of a book are enjoyed more, the deeper one reads it;
 the more you nurture a friendship, the more the joy.",,,"Learned scroll the more you ponder, Sweeter grows the mental food;
 So the heart by use grows fonder, Bound in friendship with the good.
 Like learning, the friendship of the noble, the more it is cultivated, the more delightful does it become."
784,பொருட்பால்,அமைச்சு இயல்,நட்பு,நகுதற் பொருட்டன்று நட்டல் மிகுதிக்கண் மேற்சென் றிடித்தற் பொருட்டு,,,"நட்புச் செய்வதற்குத் தொடர்பும் பழக்கமும் வேண்டியதில்லை, ஒத்த உணர்ச்சியே நட்பு ஏற்படுத்துவதற்கு வேண்டிய உரிமையைக் கொடுக்கும்.",WEALTH,The Essentials of a State,Friendship,"A friendship is not merely to have fun;
 it is also to admonish when a friend errs.",,,"Nor for laughter only friendship all the pleasant day,
 But for strokes of sharp reproving, when from right you stray.
 Friendship is to be practised not for the purpose of laughing but for that of being beforehand in giving one another sharp rebukes in case of transgression."
785,பொருட்பால்,அமைச்சு இயல்,நட்பு,புணர்ச்சி பழகுதல் வேண்டா உணர்ச்சிதான் நட்பாங் கிழமை தரும்,,,"முகம் மட்டும் மலரும் படியா நட்பு செய்வது நட்பு அன்று, நெஞ்சமும் மலரும் படியாக உள்ளன்பு கொண்டு நட்பு செய்வதே நட்பு ஆகும்.",WEALTH,The Essentials of a State,Friendship,"Friendship is forged on shared feelings;
 physical proximity or long association is inconsequential.",,,"Not association constant, not affection's token bind;
 'Tis the unison of feeling friends unites of kindred mind.
 Living together and holding frequent intercourse are not necessary (for friendship); (mutual) understanding can alone create a claim for it."
786,பொருட்பால்,அமைச்சு இயல்,நட்பு,முகநக நட்பது நட்பன்று நெஞ்சத் தகநக நட்பது நட்பு,,,"அழிவைத் தரும் தீமைகளிலிருந்து நீக்கி, நல்ல வழியில் நடக்கச் செய்து, அழிவுவந்த காலத்தில் உடனிருந்து துன்பப்படுவதே நட்பாகும்.",WEALTH,The Essentials of a State,Friendship,"A smile on the face does not make a friendship;
 a smile in the depths of the heart does.",,,"Not the face's smile of welcome shows the friend sincere,
 But the heart's rejoicing gladness when the friend is near.
 The love that dwells (merely in the smiles of the face is not friendship; (but) that which dwells deep in the smiles of the heart is true friendship."
787,பொருட்பால்,அமைச்சு இயல்,நட்பு,அழிவி னவைநீக்கி ஆறுய்த் தழிவின்கண் அல்லல் உழப்பதாம் நட்பு,,,"உடைநெகிழ்ந்தவனுடைய கை, உடனே உதவிக்காப்பது போல் (நண்பனுக்குத் துன்பம் வந்தால்) அப்போதே சென்று துன்பத்தைக் களைவது நட்பு.",WEALTH,The Essentials of a State,Friendship,"Rescuing from ruin, steering along the right path,
 and when in distress, sharing it, is friendship.",,,"Friendship from ruin saves, in way of virtue keeps;
 In troublous time, it weeps with him who weeps.
 (True) friendship turns aside from evil (ways) makes (him) walk in the (good) way, and, in case of loss if shares his sorrow (with him)."
788,பொருட்பால்,அமைச்சு இயல்,நட்பு,உடுக்கை இழந்தவன் கைபோல ஆங்கே இடுக்கண் களைவதாம் நட்பு,,,"நட்புக்கு சிறந்த நிலை எது என்றால், எப்போதும் வேறுபடுதல் இல்லாமல், முடியும் போதெல்லாம் உதவி செய்து தாங்கும் நிலையாகும்.",WEALTH,The Essentials of a State,Friendship,"Like the hand that moves reflexively when the dress slips,
 a friend reacts swiftly to remove a woe.",,,"As hand of him whose vesture slips away,
 Friendship at once the coming grief will stay.
 (True) friendship hastens to the rescue of the afflicted (as readily) as the hand of one whose garment is loosened (before an assembly)."
789,பொருட்பால்,அமைச்சு இயல்,நட்பு,நட்பிற்கு வீற்றிருக்கை யாதெனிற் கொட்பின்றி ஒல்லும்வாய் ஊன்றும் நிலை,,,"இவர் எமக்கு இத்தன்மையானவர், யாம் இவர்க்கு இத் தன்மையுடையேம் என்று புனைந்துரைத்தாலும் நட்பு சிறப்பிழந்து விடும்.",WEALTH,The Essentials of a State,Friendship,"Crowning glory for friendship is when
 a friend supports unflinchingly in all ways.",,,"And where is friendship's royal seat? In stable mind,
 Where friend in every time of need support may find.
 Friendship may be said to be on its throne when it possesses the power of supporting one at all times and under all circumstances, (in the practice or virtue and wealth)."
790,பொருட்பால்,அமைச்சு இயல்,நட்பு,இனையர் இவரெமக் கின்னம்யாம் என்று புனையினும் புல்லென்னும் நட்பு,,,"நட்புச் செய்தபிறகு நட்பை உடையவர்க்கு அதிலிருந்து விடுதலை இல்லை, ஆகையால் ஆராயாமல் நட்புச் செய்வது போல் கெடுதியானது வேறு இல்லை.",WEALTH,The Essentials of a State,Friendship,"“He is so dear to me; I mean so much to him” –
 to even utter this, takes the lustre off friendship.",,,"Mean is the friendship that men blazon forth,
 'He's thus to me' and 'such to him my worth'.
 Though friends may praise one another saying, ""He is so intimate with us, and we so much (with him)""; (still) such friendship will appear mean."
791,பொருட்பால்,அமைச்சு இயல்,நட்பாராய்தல்,நாடாது நட்டலிற் கேடில்லை நட்டபின் வீடில்லை நட்பாள் பவர்க்கு,,,"ஆராய்ந்து ஆராய்ந்து நட்புக் கொள்ளாதவனுடைய நட்பு, இறுதியில் தான் சாவதற்க்குக் காரணமானத் துயரத்தை உண்டாக்கிவிடும்.",WEALTH,The Essentials of a State,Investigation in forming Friendships,"Nothing can be more pernicious than accepting a friend without assessing; after accepting,
 there is no letting go of them.",,,"To make an untried man your friend is ruin sure;
 For friendship formed unbroken must endure.
 As those who are of a friendly nature will not forsake (a friend) after once loving (him), there is no evil so great as contracting a friendship without due inquiry."
792,பொருட்பால்,அமைச்சு இயல்,நட்பாராய்தல்,ஆய்ந்தாய்ந்து கொள்ளாதான் கேண்மை கடைமுறை தான்சாம் துயரம் தரும்,,,"ஒருவனுடைய குணத்தையும், குடிப்பிறப்பையும் குற்றத்தையும் குறையாத இனத்தாரின் இயல்பையும் அறிந்து அவனேடு நட்புக் கொள்ள வேண்டும்.",WEALTH,The Essentials of a State,Investigation in forming Friendships,"Assess and assess before taking a friend,
 else the ensuing anguish will be fatal.",,,"Alliance with the man you have not proved and proved again,
 In length of days will give you mortal pain.
 The friendship contracted by him who has not made repeated inquiry will in the end grieve (him) to death."
793,பொருட்பால்,அமைச்சு இயல்,நட்பாராய்தல்,குணனும் குடிமையும் குற்றமும் குன்றா இனனும் அறிந்தியாக்க நட்பு,,,"உயர்ந்த குடியில் பிறந்து, தன்னிடத்தில் வருகின்றப் பழிக்கு நாணுகின்றவனைப் பொருள் கொடுத்தாவது நட்பு கொள்ளவேண்டும்.",WEALTH,The Essentials of a State,Investigation in forming Friendships,"Know one’s traits, roots, faults and flawless
 kinship, and then forge a friendship.",,,"Temper, descent, defects, associations free
 From blame: know these, then let the man be friend to thee.
 Make friendship (with one) after ascertaining (his) character, birth, defects and the whole of one's relations."
794,பொருட்பால்,அமைச்சு இயல்,நட்பாராய்தல்,குடிப்பிறந்து தன்கண் பழிநாணு வானைக் கொடுத்தும் கொளல்வேண்டும் நட்பு,,,"நன்மை இல்லாதச் சொற்களைக் கண்டபோது வருந்தும்படியாக இடிந்துச் சொல்லி, உலகநடையை அறிய வல்லவரின் நட்பை ஆராய்ப்து கொள்ள வேண்டும்.",WEALTH,The Essentials of a State,Investigation in forming Friendships,"Of high birth, and fears disgrace –
 give whatever and gain the friendship.",,,"Who, born of noble race, from guilt would shrink with shame,
 Pay any price so yo u as friend that man may claim.
 The friendship of one who belongs to a (good) family and is afraid of (being charged with) guilt, is worth even purchasing."
795,பொருட்பால்,அமைச்சு இயல்,நட்பாராய்தல்,அழச்சொல்லி அல்ல திடித்து வழக்கறிய வல்லார்நட் பாய்ந்து கொளல்,,,"கேடு வந்த போதும் ஒருவகை நன்மை உண்டு, அக் கேடு ஒருவனுடைய நண்பரின் இயல்புகளை நீட்டிஅளந்து பார்ப்பதொரு கோலாகும்.",WEALTH,The Essentials of a State,Investigation in forming Friendships,"When you err, they may chide you till you cry,
 and show you the right way – assess and accept their friendship.",,,"Make them your chosen friend whose words repentance move,
 With power prescription's path to show, while evil they reprove.
 You should examine and secure the friendship of those who can speak so as to make you weep over a crime (before its commission) or rebuke you severely (after you have done it) and are able to teach you (the ways of) the world."
796,பொருட்பால்,அமைச்சு இயல்,நட்பாராய்தல்,கேட்டினும் உண்டோர் உறுதி கிளைஞரை நீட்டி அளப்பதோர் கோல்,,,"ஒருவனுக்கு ஊதியம் என்று சொல்லப்படுவது, அறிவில்லாதவறுடன் செய்து கொண்ட நட்பிலிருந்து நீங்கி அவரைக் கைவிடுதலாகும்.",WEALTH,The Essentials of a State,Investigation in forming Friendships,"There is a gain in grief: it is a tool
 to stretch and gauge a friend.",,,"Ruin itself one blessing lends:
 'Tis staff that measures out one's friends.
 Even in ruin there is some good; (for) it is a rod by which one may measure fully (the affection of one's) relations."
797,பொருட்பால்,அமைச்சு இயல்,நட்பாராய்தல்,ஊதியம் என்ப தொருவற்குப் பேதையார் கேண்மை ஒரீஇ விடல்,,,"ஊக்கம் குறைவதற்குக் காரணமான செயல்களை எண்ணாமலிருக்க வேண்டும், அதுபோல் துன்பம் வந்த போது கைவிடுகின்றவரின் நட்பைக் கொள்ளாதிருக்க வேண்டும்.",WEALTH,The Essentials of a State,Investigation in forming Friendships,"It is a gain to lose
 the friendship of a fool.",,,"Tis gain to any man, the sages say,
 Friendship of fools to put away.
 It is indead a gain for one to renounce the friendship of fools."
798,பொருட்பால்,அமைச்சு இயல்,நட்பாராய்தல்,உள்ளற்க உள்ளஞ் சிறுகுவ கொள்ளற்க அல்லற்கண் ஆற்றறுப்பார் நட்பு,,,"கேடு வரும் காலத்தில் கைவிட்டு ஒதுங்குகின்றவரின் நட்பு, எமன் கொல்லும் காலத்தில் நினைத்தாலும் நினைத்த உள்ளத்தை வருத்தும்.",WEALTH,The Essentials of a State,Investigation in forming Friendships,"Think not of trifles that stifle your fervor;
 take not the friendship of those who desert in distress.",,,"Think not the thoughts that dwarf the soul; nor take
 For friends the men who friends in time of grief forsake.
 Do not think of things that discourage your mind, nor contract friendship with those who would forsake you in adversity."
799,பொருட்பால்,அமைச்சு இயல்,நட்பாராய்தல்,கெடுங்காலைக் கைவிடுவார் கேண்மை அடுங்காலை உள்ளினும் உள்ளஞ் சுடும்,,,"குற்றமற்றவருடைய நட்பைக் கொள்ள வேண்டும், ஒத்தபண்பை இல்லாதவறுடைய நட்பை ஒன்றைக் கொடுத்தாவது கைவிட வேண்டும்.",WEALTH,The Essentials of a State,Investigation in forming Friendships,"A friend who abandons in times of adversity, will torment
 the heart even at death’s door.",,,"Of friends deserting us on ruin's brink,
 'Tis torture e'en in life's last hour to think.
 The very thought of the friendship of those who have deserted one at the approach of adversity will burn one's mind at the time of death."
800,பொருட்பால்,அமைச்சு இயல்,நட்பாராய்தல்,மருவுக மாசற்றார் கேண்மையொன் றீத்தும ஒருவுக ஒப்பிலார் நட்பு,,,பழைமை என்று சொல்லப்படுவது எது என்று வினாவினால் அது பழகியவர் உரிமைப் பற்றிச் செய்யும் செயலைக் கீழ்ப்படுத்தாமல் ஏற்கும் நட்பாகும்.,WEALTH,The Essentials of a State,Investigation in forming Friendships,"Seek friendship with the impeccable; give anything
 to sever ties with unbefitting allies.",,,"Cling to the friendship of the spotless one's; whate'er you pay.
 Renounce alliance with the men of evil way.
 Continue to enjoy the friendship of the pure; (but) renounce even with a gift, the friendship of those who do not agree (with the world)."
801,பொருட்பால்,அமைச்சு இயல்,பழமை,பழைமை எனப்படுவ தியாதெனின் யாதும் கிழமையைக் கீழ்ந்திடா நட்பு,,,"நட்பிற்க்கு உறுப்பாவது நண்பனுடைய உரிமைச் செயலாகும், அந்த உரிமைச் செயலுக்கு உடன்பட்டவராதல் சான்றோரின் கடமையாகும்.",WEALTH,The Essentials of a State,Familiarity,"When a friend takes the liberty to do anything, and you never hinder it,
 that is called rapport.",,,"Familiarity is friendship's silent pact,
 That puts restraint on no familiar act.
 Imtimate friendship is that which cannot in the least be injured by (things done through the) right (of longstanding intimacy)."
802,பொருட்பால்,அமைச்சு இயல்,பழமை,நட்பிற் குறுப்புக் கெழுதகைமை மற்றதற் குப்பாதல் சான்றோர் கடன்,,,பழகியவர் உரிமைப்பற்றிச் செய்யும் செயலைத் தாம் செய்தது போலவேக் கருதி உடன்படாவிட்டால் அவரோடு தாம் பழகிய நட்பு என்ன பயன் தரும்.,WEALTH,The Essentials of a State,Familiarity,"Taking the liberty is a part of friendship; to oblige and salt it
 is the duty of the noble.",,,"Familiar freedom friendship's very frame supplies;
 To be its savour sweet is duty of the wise.
 The constituents of friendship are (things done through) the right of intimacy; to be pleased with such a right is the duty of the wise."
803,பொருட்பால்,அமைச்சு இயல்,பழமை,பழகிய நட்பெவன் செய்யுங் கெழுதகைமை செய்தாங் கமையாக் கடை,,,"உரிமையால் கேளாமலே நண்பர் ஒன்றைச் செய்தால், அந்த உரிமையைப் போற்றி விரும்பும் தன்மையோடு அச் செயலையும் விரும்பி உடன்பட்டிருப்பர் அறிஞர்.",WEALTH,The Essentials of a State,Familiarity,"What purpose does intimate friendship serve, when one can’t indulge
 a friend who uses his rights to do something unsolicited.",,,"When to familiar acts men kind response refuse,
 What fruit from ancient friendship's use?
 Of what avail is long-standing friendship, if friends do not admit as their own actions done through the right of intimacy ?"
804,பொருட்பால்,அமைச்சு இயல்,பழமை,விழைதகையான் வேண்டி இருப்பர் கெழுதகையாற் கேளாது நட்டார் செயின்,,,வருந்ததக்க செயல்களை நண்பர் செய்தால் அதற்குக் காரணம் அறியாமை என்றாவது மிகுந்த உரிமை என்றாவது உணரவேண்டும்.,WEALTH,The Essentials of a State,Familiarity,"Without asking, when a friend acts, presuming assent,
 one accepts it as if they desired it.",,,"When friends unbidden do familiar acts with loving heart,
 Friends take the kindly deed in friendly part.
 If friends, through the right of friendship, do (anything) without being asked, the wise will be pleased with them on account of its desirability."
805,பொருட்பால்,அமைச்சு இயல்,பழமை,பேதைமை ஒன்றோ பெருங்கிழமை என்றுணர்க நோதக்க நட்டார் செயின்,,,"உரிமை வாழ்வின் எல்லையில் நின்றவர், தமக்கு அழிவுநேர்ந்தவிடத்திலும் பழைமையாய் உறவு கொண்டு நின்றவரின் தொடர்பைக் கைவிட மாட்டார்.",WEALTH,The Essentials of a State,Familiarity,"Discern it not merely as ignorance, but as a sign of intimacy,
 when a friend does an undesired act that hurts.",,,"Not folly merely, but familiar carelessness,
 Esteem it, when your friends cause you distress.
 If friends should perform what is painful, understand that it is owing not only to ignorance, but also to the strong claims of intimacy."
806,பொருட்பால்,அமைச்சு இயல்,பழமை,எல்லைக்கண் நின்றார் துறவார் தெலைவிடத்தும் தொல்லைக்கண் நின்றார் தொடர்பு,,,"அன்புடன் தொன்றுதொட்டு வந்த உறவை உடையவர், அழிவுதரும் செயல்களை பழகியவர் செய்த போதிலும் தம் அன்பு நீங்காமலிருப்பர்.",WEALTH,The Essentials of a State,Familiarity,"A friend who has stood by you at all times, even when he causes harm –
 those who know the expanse of friendship will never let go.",,,"Who stand within the bounds quit not, though loss impends,
 Association with the old familiar friends.
 Those who stand within the limits (of true friendship) will not even in adversity give up the intimacy of long-standing friends."
807,பொருட்பால்,அமைச்சு இயல்,பழமை,அழிவந்த செய்யினும் அன்பறார் அன்பின் வழிவந்த கேண்மை யவர்,,,"பழகிய நண்பர் செய்த தவறு பற்றிப் பிறர் சொன்னாலும், கேளாமலிருக்கும் உரிமை வல்லவர்க்கு, அந்த நண்பர் தவறுசெய்வாரானால் அது பயனுள்ள நாளாகும்.",WEALTH,The Essentials of a State,Familiarity,"In friendships built on love, no love is lessened
 even when one does a destructive deed.",,,"True friends, well versed in loving ways,
 Cease not to love, when friend their love betrays.
 Those who have (long) stood in the path of affection will not give it up even if their friends cause (them) their ruin."
808,பொருட்பால்,அமைச்சு இயல்,பழமை,கேளிழுக்கங் கேளாக் கெழுதகைமை வல்லார்க்கு நாளிழுக்கம் நட்டார் செயின்,,,உரிமை கெடாமல் தொன்று தொட்டு வந்த உறவு உடையவரின் தொடர்பைக் கைவிடாதவரை உலகம் விரும்பிப் போற்றும்.,WEALTH,The Essentials of a State,Familiarity,"For one who brooks no charges against an intimate friend,
 the day is made when the friend errs.",,,"In strength of friendship rare of friend's disgrace who will not hear,
 The day his friend offends will day of grace to him appear.
 To those who understand that by which they should not listen to (tales about) the faults of their friends, that is a (profitable) day on which the latter may commit a fault."
809,பொருட்பால்,அமைச்சு இயல்,பழமை,கெடாஅ வழிவந்த கேண்மையார் கேண்மை விடாஅர் விழையும் உலகு,,,"(தவறு செய்த போதிலும்)பழகிய நண்பரிடத்தில் தம் உரிமை பண்பிலிருந்து மாறாதவர், தம் பகைவராலும் விரும்பப்படுதற்குறிய சிறப்பை அடைவர்",WEALTH,The Essentials of a State,Familiarity,"Friends with resolute rapport, will never let it
 rupture even if the world wills it.",,,"Friendship of old and faithful friends,
 Who ne'er for sake, the world commends.
 They will be loved by the world, who have not forsaken the friendship of those with whom they have kept up an unbroken long-standing intimacy."
810,பொருட்பால்,அமைச்சு இயல்,பழமை,விழையார் விழையப் படுப பழையார்கண் பண்பின் தலைப்பிரியா தார்,,,"அன்பு மிகுதியால் பருகுவார் போல் தோன்றினாலும் நற்பண்பு இல்லாதவரின் நட்பு, வளர்ந்து பெருகுவதை விடத் தேய்ந்து குறைவது நல்லது.",WEALTH,The Essentials of a State,Familiarity,"One who by nature never breaks with intimate friends
 Shall be loved even by those who loathe them.",,,"Ill-wishers even wish them well, who guard.
 For ancient friends, their wonted kind regard.
 Even enemies will love those who have never changed in their affection to their long-standingfriends."
811,பொருட்பால்,அமைச்சு இயல்,தீ நட்பு,பருகுவார் போலினும் பண்பிலார் கேண்மை பெருகலிற் குன்றல் இனிது,,,"தமக்கு பயன் உள்ள போது நட்பு செய்து பயன் இல்லாத போது நீங்கிவிடும் தகுதியில்லாதவரின் நட்பைப் பெற்றாலும் என்ன பயன், இழந்தாலும் என்ன பயன்.",WEALTH,The Essentials of a State,Evil Friendship,"Their gaze may seem to guzzle you lovingly; but let the ties
 with characterless friends wane than flourish.",,,"Though evil men should all-absorbing friendship show,
 Their love had better die away than grow.
 The decrease of friendship with those who look as if they would eat you up (through excess of love) while they are really destitute of goodness is far better than its increase."
812,பொருட்பால்,அமைச்சு இயல்,தீ நட்பு,உறினட் டறினொரூஉம் ஒப்பிலார் கேண்மை பெறினும் இழப்பினும் என்,,,"கிடைக்கும் பயனை அளந்து பார்க்கும் நண்பரும், அன்பைக் கொள்ளாமல் பெறுகின்ற பொருளைக் கொள்ளும் விலை மகளிரும், கள்வரும் ஒரு நிகரானவர்.",WEALTH,The Essentials of a State,Evil Friendship,"Ill-suited mates who are intimate if they benefit and distant if they don’t –
 does it matter if we gain them or lose them?",,,"What though you gain or lose friendship of men of alien heart,
 Who when you thrive are friends, and when you fail depart?
 Of what avail is it to get or lose the friendship of those who love when there is gain and leave when there is none ?"
813,பொருட்பால்,அமைச்சு இயல்,தீ நட்பு,உறுவது சீர்தூக்கும் நட்பும் பெறுவது கொள்வாரும் கள்வரும் நேர்,,,"போர் வந்த போது களத்தில் தள்ளிவிட்டு ஓடும் அறிவில்லாத குதிரை போன்றவரின் உறவை விட, ஒரு நட்பும் இல்லாமல் தனித்திருத்தலே சிறந்தது.",WEALTH,The Essentials of a State,Evil Friendship,"Friends who only gauge what they gain, whores who embrace only what they are paid,
 and thieves are all the same.",,,"These are alike: the friends who ponder friendship's gain
 Those who accept whate'er you give, and all the plundering train.
 Friendship who calculate the profits (of their friendship), prostitutes who are bent on obtaining their gains, and thieves are (all) of the same character."
814,பொருட்பால்,அமைச்சு இயல்,தீ நட்பு,அமரகத் தாற்றறுக்கும் கல்லாமா அன்னார் தமரின் தனிமை தலை,,,"காவல் செய்து வைத்தாலும் காவல் ஆகாத கீழ்மக்களின் தீய நட்பு, ஒருவனுக்கு ஏற்படுவதை விட ஏற்படாமலிருப்பதே நன்மையாகும்.",WEALTH,The Essentials of a State,Evil Friendship,"Better be lonely than have the company of those,
 who are like untrained horses that can’t bear you on the battlefield.",,,"A steed untrained will leave you in the tug of war;
 Than friends like that to dwell alone is better far.
 Solitude is more to be desired than the society of those who resemble the untrained horses which throw down (their riders) in the fields of battle."
